SiteID,SiteName,Country,StateProvince,County,USGS_Quad,HUC,FeatureID,LandUnit,LandUnitDetail,ProclaimedNF,LCC,PublicInfo,InfoSource,InfoSourceDet,MagDev,AccessDescript,SiteDescription,AKA,GeorefSource,Datum,UTM_Zone,GPS_Unit,UTME,UTMN,LatDeg,LatMin,LatSec,LongDeg,LongMin,LongSec,LatitudeDD,LongitudeDD,ElevationM,EPE_M,Georef_Comments,SpringType1,SpringType2,LithoPrimary,LithoSecondary,GeoLayer,EmergenceEnvironment,EmergenceEnvNote,SourceGeo,SourceGeo2,ChannelDynamics,FlowForceMech,NearestSpringM,LoginAdded,LoginAddedDate,LoginChanged,LoginChangedDate,SurveyCount,AvgEOD,HighEOD,ImageHyperlink,SketchHyperlink,SiteHyperlink,ShortName,initialtimestamp,
763,Acer Spring,US,AZ,Coconino,Jumpup Point,15010003,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,Geonames,Imported from USGS Geonames,12,"From junction of 22 (West Side Road) and 423 (377679X, 4059394Y), turn west on 423 and go 19 mi to the end of 423.  Then follow pack trail into Jumpup Canyon, past Jumpup Spring. This spring is about 1.4 km farther down the and about 140 m up a drainage to the east.",This small hillslope spring emerges from a colluvial slope in a steep tributary to Jumpup Canyon. It has been manipulated in the past.,"JUMP003, Jumpup Below",GPS,NAD83,12,Earthmate PN-40,361366,4049018,36,34,35.616,-112,32,58.2,36.57656,-112.5495,1535,,"Elevation from 10m DEM, coordinates from AZ State Land Office layer.",hillslope,,sedimentary,shale,Hermit Shale,subaerial,,seepage or filtration spring,,spring,gravity,480,jeriledbetter,12/8/2010,jeriledbetter,9/19/2016,1,10,10,http://springsdata.org/uploaded_files/survey/old_images/763_JumpupBelow.jpg,http://springsdata.org/uploaded_files/survey/old_images/763_JumpupBelowSketch.jpg,,Acer,4/25/2014 12:11,12
182107,Across Hawaii Springs,US,AZ,Coconino,Grand Canyon,15010002,,NPS,Grand Canyon NP,,15,1,IR,,11,Directly across (to the East) of Hawaii Spring,This small hanging garden emerges in an otherwise dry channel.  The runout flows through a dry plunge pool that is filled with gravel.,,GPS,WGS84,12,Garmin Oregon 650,390368,3992598,36,4,18.48,-112,13,2.964,36.0718,-112.21749,959,8,Coordinate shifted based on aerial imagery.,hanging garden,rheocrene,sedimentary,limestone,Muav limestone,subaerial,,contact spring,,spring,gravity,76,jeriledbetter,11/19/2016,jholway,11/21/2016,1,10,10,,,,Across Hawaii,11/19/2016 9:34,7
182110,Adiantum Springs,US,AZ,Coconino,Grand Canyon,15010002,,NPS,Grand Canyon NP,,15,,IR,,11,,,,,WGS84,12,,390099,3992269,36,4,7.68,-112,13,13.512,36.0688,-112.22042,1050,14,,hanging garden,,sedimentary,limestone,Muav limestone,subaerial,,contact spring,,,gravity,425,jeriledbetter,11/19/2016,jholway,11/21/2016,1,10,10,,,,Adiantum,11/19/2016 11:16,7
9777,Beale Spring,US,AZ,Mohave,Kingman,15030103,,Private,Private US Landowner AZ,,3,1,Geonames,; ID from AZDWR GWIS,12,Private,This is a heavily anthropogenically altered hillslope springs complex with a concrete source (A) on an excavated source (head of B) and an excavated channel throughout.,"Imported from GDBB-21-17 15DBD, FLWD_SiteID 351235114050501",GPS,NAD83,11,Toughbook,765529,3899609,35,12,15.84,-114,4,59.88,35.2044,-114.0833,1100,,,hillslope,anthropogenic,,,,subaerial,,seepage or filtration spring,,,gravity,663,jeriledbetter,6/16/2012,sparks,7/1/2013,2,6,10,http://springsdata.org/uploaded_files/survey/old_images/9777_Beale.jpg,http://springsdata.org/uploaded_files/survey/old_images/9777_BealeSketch.jpg,,Beale ,4/25/2014 12:11,10
689,Bear Spring,US,AZ,Coconino,Kanabownits Spring,15010002,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,PUB,Brown & Moran 1979,11,"From Deer Lake, drive East on Forest Road 270B about 2.15 mi. Turn left (south) on 270 and continue for 1.57 mi. Turn right on 270T and follow for .86 miles. Then, follow FR 2674 for 12 miles.","This spring was included in Brown and Moran study.This heleocrene spring was surveyed by Grand Canyon Trust in July 2010.The spring has multiple orifices was verified by Steve Rice with the National Park Service with a recreation grade GPS.
In 2015, the Springs Stewardship Institute surveyors revisited the site. The first emergence comes from a 1st order channel from which stream flow may occasionally emerge in wet conditions. The flow emerges from the soil near the base of the Kaibab formation. The channel then meanders through the meadow.","DP-38, MERL009",map,NAD83,12,,394739,4025617,36,22,11.676,-112,10,24.204,36.36991,-112.17339,2658,4,"Elevation from GCT, coordinates from Brown and Moran",helocrene,rheocrene,sedimentary,limestone,Kaibab Limestone,subaerial,,seepage or filtration spring,,spring,gravity,155,,1/20/2011,jeriledbetter,5/31/2016,2,9,10,http://springsdata.org/uploaded_files/survey/2146238456/2146238456_rep.jpg,http://springsdata.org/uploaded_files/survey/old_images/689_BearSketch.jpg,,Bear,4/25/2014 12:11,12
579,Bear Springs,US,AZ,Coconino,May Tank Pocket,15060202,,USFS,"Kaibab NF, Williams RD",Kaibab,3,1,NHD,; ID from AZDWR GWIS,11,"From the town of Williams, travel south on CR-73 for 12.3 mi. Turn left on NF-57 (Bear Springs Rd) for 0.3 mi. Turn right onto NF-4218A and continue south for 0.5 mi. Springs is located 300 m southwest in the bottom of a small canyon.","This rheocrene spring emerges in a forested cliff-lined canyon and re-emerges downstream, as mapped.",,GPS,NAD83,12,Earthmate PN-60,392428,3883315,35,5,12.768,-112,10,48.252,35.08688,-112.18007,2016,,GPS readings taken during survey.,rheocrene,,igneous,basalt,basalt flow,subaerial,,seepage or filtration spring,,runoff,gravity,730,jeriledbetter,8/24/2010,lancemurray,3/11/2016,4,5.8,10,http://springsdata.org/uploaded_files/survey/old_images/579_Bear.jpg,http://springsdata.org/uploaded_files/survey/old_images/579_BearSketch.jpg,,Bear,4/25/2014 12:11,12
10020,Beaver Spring,US,AZ,Coconino,Havasu Falls,15010004,,Tribal,Havasupai Tribe,,15,1,Geonames,Imported from USGS Geonames,12,,This small ( ca. 35 L/min) rheocrene spring emerges along a fracture line in the Muav Formation flowing into Beaver Canyon Creek.,Imported from GDB,map,NAD83,12,,344128,4016084,36,16,37.668,-112,44,7.692,36.27713,-112.73547,731,,,rheocrene,,sedimentary,limestone,Muav limestone,subaerial,,fracture spring,,,gravity,138,jeriledbetter,6/16/2012,jeriledbetter,9/23/2013,10,4,10,,http://springsdata.org/uploaded_files/survey/old_images/10020_BeaverSketch_1368037157.jpg,,Beaver ,4/25/2014 12:11,8
101,Betatakin Spring,US,AZ,Navajo,Betatakin Ruin,14080204,,NPS,Navajo NM,,15,1,USGS Quad,Added based on DRG layer,12,"From visitor's center, hike down the Aspen Trail to head of Betatakin Canyon access trail. Continue down old trail to bottom of canyon - there is a gate so you need to pick up a key from NPS staff. Spring is in first major alcove to the north, about 20m off the trail. //Note: Channel substrate was recorded during aquatic macroinvertebrate sampling.","Another spring is located approx. 500 m down canyon at Betatakin Ruin.This spring is located in an overhanging alcove.We surveyed from the alcove to the drip line.The channel continues, but is influenced by overland flow.",NAVA_S0001,TOPO!,NAD83,12,,541198,4059552,36,40,50.556,-110,32,20.04,36.68071,-110.5389,2036,,Position estimated from location marked on topo map.,cave,hanging garden,sedimentary,sandstone,Navajo Sandstone,subaerial,,contact spring,,spring,gravity,562,larrystevens,10/1/2006,jeriledbetter,1/17/2007,2,7.5,10,http://springsdata.org/uploaded_files/survey/old_images/101_Betatakin.jpg,http://springsdata.org/uploaded_files/survey/old_images/101_BetatakinSketch.jpg,,Betatakin,4/25/2014 12:11,5
271,Big Spring,US,AZ,Coconino,Big Springs,15010003,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,Geonames,; ID from AZDWR GWIS,12,"Central Kaibab Plateau, west side, Big Springs Canyon, at Big Springs Administrative Site","This is a contact seepage gushet emerging from the base of the Coconino sandstone and flowing 50 m down a steep talus slope to a NFS station and pond. Larry Stevens has visited this site 3 times, and completed a comprehensive survey in 2005 with RJ Johnson.The source of the location was confirmed with a 1:24K Digital Raster Graphic.","KNF-22, NAIL002B-37-01 13DCB, FLWD_SiteID 363607112205201",map,NAD83,12,,379355,4051597,36,36,8.1,-112,20,56.04,36.60225,-112.3489,2150,14,"Elevation from 10m DEM, coordinates from Larry Stevens, adjusted to match DRG as GPS EPE was 26 meters.  The measurement was taken from the side of the base of A.",hanging garden,gushet,sedimentary,sandstone,Coconino,subaerial,,fracture spring,contact spring,spring,gravity,1573,,11/18/2010,jeriledbetter,5/25/2014,25,2.9,10,http://springsdata.org/uploaded_files/survey/old_images/271_Big_632.jpg,http://springsdata.org/uploaded_files/survey/old_images/271_BigSketch_1290097292.jpg,,Big,4/25/2014 12:11,12
739,Big Spring,US,AZ,Coconino,Davenport Hill,15060202,,USFS,"Kaibab NF, Williams RD",Kaibab,3,1,NHD,; ID from AZDWR GWIS,11,"From the town of Williams, travel south on County Rd 73 for 7.15 mi. Turn left and head east onto NF-139 (Overland) for 6.4 miles. Turn right onto NF-161 and continue for 0.9 mi before bearing right on Whiting Ranch Rd for 0.3 mi. Turn right onto Overland and continue for 1.5 mi. Spring is located 130 m due south from this location.",This is a hillslope spring that emerges from boulders in a decomposing basalt flow margin. There is seepage along the base of a steep bank in the drainage. The surrounding area is heavily forested. The source has been manipulated with piping.,,GPS,NAD83,12,Earthmate PN-60,401565,3891103,35,9,28.908,-112,4,50.808,35.15803,-112.08078,2072,2,GPS coordinates were taken at source.,hillslope,,igneous,basalt,,subaerial,,contact spring,fracture spring,spring,gravity,2521,jeriledbetter,12/8/2010,jeriledbetter,4/13/2016,7,4,10,http://springsdata.org/uploaded_files/survey/old_images/739_BigSKNF.jpg,http://springsdata.org/uploaded_files/survey/old_images/739_BigSKNFSketch.jpg,,Big,4/25/2014 12:11,12
